S-Word;Tristeza;Miedo;Alegr¡a;Enfado;Sorpresa;Neutral
trauma;0,17;0,83;0,00;0,00;0,00;0,00
traves¡a;0,00;0,00;0,17;0,00;0,00;0,83
travesura;0,00;0,00;0,33;0,00;0,17;0,50
triste;1,00;0,00;0,00;0,00;0,00;0,00
triunfante;0,00;0,00;1,00;0,00;0,00;0,00
triunfo;0,00;0,00;1,00;0,00;0,00;0,00
trofeo;0,00;0,00;1,00;0,00;0,00;0,00
trompeta;0,00;0,00;0,33;0,00;0,00;0,67
tumba;0,50;0,33;0,00;0,00;0,00;0,17
tumor;0,50;0,50;0,00;0,00;0,00;0,00
turbio;0,00;0,50;0,00;0,33;0,00;0,17
£lcera;0,67;0,33;0,00;0,00;0,00;0,00
unidad;0,00;0,00;0,00;0,00;0,00;1,00
utensilio;0,00;0,00;0,00;0,00;0,00;1,00
£til;0,00;0,00;0,33;0,00;0,00;0,67
vaca;0,00;0,00;0,00;0,00;0,00;1,00
vacaci¢n;0,00;0,00;1,00;0,00;0,00;0,00
vacilar;0,00;0,17;0,00;0,33;0,17;0,33
vagina;0,00;0,00;0,00;0,00;0,00;1,00
valiente;0,00;0,00;0,50;0,00;0,00;0,50
vampiro;0,00;0,67;0,00;0,00;0,00;0,33
v ndalo;0,00;0,17;0,00;0,67;0,00;0,17
vanidad;0,00;0,00;0,00;0,83;0,00;0,17
veh¡culo;0,00;0,00;0,00;0,00;0,00;1,00
velero;0,00;0,00;0,00;0,00;0,00;1,00
veloz;0,00;0,00;0,00;0,00;0,00;1,00
vencedor;0,00;0,00;1,00;0,00;0,00;0,00
vencido;0,83;0,00;0,00;0,17;0,00;0,00
venda;0,17;0,00;0,00;0,00;0,00;0,83
veneno;0,00;1,00;0,00;0,00;0,00;0,00
ventaja;0,00;0,00;0,67;0,00;0,00;0,33
ventana;0,00;0,00;0,00;0,00;0,00;1,00
verdad;0,00;0,00;0,50;0,00;0,00;0,50
verde;0,00;0,00;0,33;0,00;0,00;0,67
vergonzoso;0,50;0,17;0,00;0,33;0,00;0,00
vertedero;0,17;0,00;0,00;0,17;0,00;0,67
vestido;0,00;0,00;0,00;0,00;0,00;1,00
viajes;0,00;0,00;0,33;0,00;0,00;0,67
v¡ctima;1,00;0,00;0,00;0,00;0,00;0,00
victimismo;0,33;0,17;0,00;0,50;0,00;0,00
victoria;0,00;0,00;1,00;0,00;0,00;0,00
vida;0,00;0,00;1,00;0,00;0,00;0,00
vidrio;0,00;0,00;0,00;0,00;0,00;1,00
vigilante;0,00;0,17;0,00;0,00;0,00;0,83
vigoroso;0,00;0,00;0,33;0,00;0,00;0,67
vino;0,00;0,00;0,17;0,00;0,00;0,83
violaci¢n;0,00;0,67;0,00;0,33;0,00;0,00
violento;0,00;0,17;0,00;0,83;0,00;0,00
viol¡n;0,00;0,00;0,17;0,00;0,00;0,83
virgen;0,00;0,00;0,00;0,00;0,00;1,00
virtud;0,00;0,00;0,83;0,00;0,00;0,17
viruela;0,33;0,50;0,00;0,00;0,00;0,17
visi¢n;0,00;0,00;0,00;0,00;0,00;1,00
v¡vido;0,00;0,00;0,50;0,00;0,00;0,50
vivo;0,00;0,00;0,83;0,00;0,00;0,17
volc n;0,00;0,33;0,00;0,00;0,00;0,67
v¢mito;0,33;0,00;0,00;0,00;0,00;0,67
yate;0,00;0,00;0,17;0,00;0,00;0,83
zafiro;0,00;0,00;0,33;0,00;0,00;0,67
zurra;0,00;0,33;0,00;0,50;0,00;0,17
